supplier,productName,quantity,supplierPrice,description
Photocopy,photo100,48,4000,"Operates a photocopy machine to complete assignments ranging from producing single color forms, reading material"
Photocopy,photo101,66,2000,"Operates a photocopy machine to complete assignments ranging from producing single color forms, reading material"
Photocopy,photo102,76,6000,"Operates a photocopy machine to complete assignments ranging from producing single color forms, reading material"
Photocopy,photo103,87,1000,"Operates a photocopy machine to complete assignments ranging from producing single color forms, reading material"
Photocopy,photo104,43,1500,"Operates a photocopy machine to complete assignments ranging from producing single color forms, reading material"
Photocopy,photo105,27,1800,"Operates a photocopy machine to complete assignments ranging from producing single color forms, reading material"
Photocopy,photo106,14,7600,"Operates a photocopy machine to complete assignments ranging from producing single color forms, reading material"
Photocopy,photo107,63,8700,"Operates a photocopy machine to complete assignments ranging from producing single color forms, reading material"
Photocopy,photo108,47,6500,"Operates a photocopy machine to complete assignments ranging from producing single color forms, reading material"
Photocopy,photo109,13,4300,"Operates a photocopy machine to complete assignments ranging from producing single color forms, reading material"
Scanner,scan100,34,1000,"Scanner come in hand-held, feed-in, and flatbed types and for scanning black-and-white only, or color."
Scanner,scan101,18,9600,"Scanner come in hand-held, feed-in, and flatbed types and for scanning black-and-white only, or color."
Scanner,scan102,43,2300,"Scanner come in hand-held, feed-in, and flatbed types and for scanning black-and-white only, or color."
Scanner,scan103,87,1500,"Scanner come in hand-held, feed-in, and flatbed types and for scanning black-and-white only, or color."
Scanner,scan104,43,5400,"Scanner come in hand-held, feed-in, and flatbed types and for scanning black-and-white only, or color."
Scanner,scan105,65,2400,"Scanner come in hand-held, feed-in, and flatbed types and for scanning black-and-white only, or color."
Scanner,scan106,23,1300,"Scanner come in hand-held, feed-in, and flatbed types and for scanning black-and-white only, or color."
Scanner,scan107,63,1900,"Scanner come in hand-held, feed-in, and flatbed types and for scanning black-and-white only, or color."
Scanner,scan108,84,3600,"Scanner come in hand-held, feed-in, and flatbed types and for scanning black-and-white only, or color."
Scanner,scan109,47,3700,"Scanner come in hand-held, feed-in, and flatbed types and for scanning black-and-white only, or color."
Printer,print100,66,7000,"Operate or tend various types of printing machines, such as offset lithographic presses, letter or letterset presses"
Printer,print101,54,2700,"Operate or tend various types of printing machines, such as offset lithographic presses, letter or letterset presses"
Printer,print102,34,1500,"Operate or tend various types of printing machines, such as offset lithographic presses, letter or letterset presses"
Printer,print103,65,4900,"Operate or tend various types of printing machines, such as offset lithographic presses, letter or letterset presses"
Printer,print104,45,4300,"Operate or tend various types of printing machines, such as offset lithographic presses, letter or letterset presses"
Printer,print105,32,6500,"Operate or tend various types of printing machines, such as offset lithographic presses, letter or letterset presses"
Printer,print106,23,4200,"Operate or tend various types of printing machines, such as offset lithographic presses, letter or letterset presses"
Printer,print107,45,9700,"Operate or tend various types of printing machines, such as offset lithographic presses, letter or letterset presses"
Printer,print108,65,4300,"Operate or tend various types of printing machines, such as offset lithographic presses, letter or letterset presses"
Printer,print109,32,1800,"Operate or tend various types of printing machines, such as offset lithographic presses, letter or letterset presses"
